CODIGO_DA_IES,NOME_DA_IES,CATEGORIA_DA_IES,MUNICIPIO,UF,SITUACAO_IES
21995,Faculdade de Tecnologia Senac Curitiba,Privada,Curitiba,PR,Ativa
1768,FACULDADE REGIONAL SERRANA,Privada,Venda Nova do Imigrante,ES,Extinta
5701,UNIVERSIDADE DO ESTADO DO AMAPÁ,Pública,Macapá,AP,Ativa
23261,Faculdade São Judas de São Bernardo do Campo,Privada,São Bernardo do Campo,SP,Ativa
4250,FACULDADE DE CIÊNCIAS GERENCIAIS ALVES FORTES (JUIZ DE FORA),Privada,Juiz de Fora,MG,Extinta
626,CENTRO UNIVERSITÁRIO CENECISTA DE OSÓRIO,Privada,Osório,RS,Ativa
2428,FACULDADE DE CIÊNCIAS E TECNOLOGIAS DE CAMPOS GERAIS,Privada,Campos Gerais,MG,Ativa
1419,CENTRO UNIVERSITÁRIO CURITIBA,Privada,Curitiba,PR,Ativa
2538,FACULDADE VENDA NOVA DO IMIGRANTE,Privada,Venda Nova do Imigrante,ES,Ativa
275,UNIVERSIDADE DO VALE DO PARAÍBA,Privada,São José dos Campos,SP,Ativa
14123,Faculdade Presidente Antônio Carlos de Bom Sucesso,Privada,Bom Sucesso,MG,Extinta
22760,Faculdade Fleming Cerquilho,Privada,Cerquilho,SP,Ativa
3188,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS",Pública,Montes Claros,MG,Ativa
25167,FACULDADE SIGMA,Privada,Ibicaraí,BA,Ativa
17952,Faculdade de Tecnologia de Jacareí,Pública,Jacareí,SP,Ativa
660,FACULDADE METODISTA DO SUL PAULISTA,Privada,Itapeva,SP,Extinta
1244,Centro Universitário Multivix Vitória,Privada,Vitória,ES,Ativa
1494,Centro Universitário Salesiano,Privada,Vitória,ES,Ativa
21877,FACULDADE INTEGRADA DA AMAZÔNIA,Privada,Belém,PA,Ativa
1253,FACULDADE METODISTA GRANBERY,Privada,Juiz de Fora,MG,Ativa
15526,FACULDADE UNIRB CEARÁ,Privada,Fortaleza,CE,Ativa
3757,FACULDADE SERRA DA MESA,Privada,Uruaçu,GO,Ativa
3363,FACULDADE GUARAÍ,Privada,Guaraí,TO,Ativa
21982,Faculdade Integrada CETE,Privada,Garanhuns,PE,Ativa
338,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,Privada,Belo Horizonte,MG,Ativa
22113,Faculdade Pitagoras Anhanguera de Santa Cruz do Sul,Privada,Santa Cruz do Sul,RS,Extinta
5053,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO,Pública,Paracambi,RJ,Ativa
1279,FACULDADE DE ITÁPOLIS - FACITA,Privada,Itápolis,SP,Ativa
22313,FACULDADE NOVE DE JULHO DE BAURU,Privada,Bauru,SP,Ativa
1624,FACULDADE MARECHAL RONDON,Privada,São Manuel,SP,Ativa
25613,ACADEMIA DE POLÍCIA MILITAR DE MINAS GERAIS,Pública,Belo Horizonte,MG,Ativa
1502,FACULDADE ANHANGUERA PITÁGORAS DE JUNDIAÍ,Privada,Jundiaí,SP,Ativa
14724,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARANÁ",Pública,Curitiba,PR,Ativa
728,FACULDADE DE CIÊNCIAS HUMANAS DE CURVELO,Privada,Curvelo,MG,Ativa
25001,INSTITUTO GOIANO DE DIREITO,Privada,Goiânia,GO,Ativa
12547,FACITEN - FACULDADE DE CIÊNCIAS E TECNOLOGIAS DE NATAL,Privada,Natal,RN,Ativa
13484,FACULDADE EUROPÉIA DE VITÓRIA,Privada,Cariacica,ES,Ativa
3306,FACULDADE DE TECNOLOGIA IPUC,Privada,Canoas,RS,Ativa
24996,Faculdade Uniavan Joinville,Privada,Joinville,SC,Ativa
21953,Instituto União das Faculdades Americanas,Privada,Formosa,GO,Extinta
18099,Faculdade de Tecnologia de Diadema Luigi Papaiz,Pública,Diadema,SP,Ativa
14622,FACULDADE UNIFTB,Privada,Tobias Barreto,SE,Ativa
22702,FACULDADE PITÁGORAS UNOPAR DE CHAPECÓ,Privada,Chapecó,SC,Ativa
18735,Faculdade AGES de Lagarto,Privada,Lagarto,SE,Ativa
18667,FACULDADE SANTO ANTÔNIO,Privada,Caçapava,SP,Ativa
668,CENTRO UNIVERSITÁRIO DE ENSINO SUPERIOR DO AMAZONAS,Privada,Manaus,AM,Ativa
19850,FACULDADE MAURÍCIO DE NASSAU DE NITERÓI,Privada,Niterói,RJ,Extinta
2044,INSTITUTO SUPERIOR DE EDUCAÇÃO VALE DO SALGADO,Privada,Icó,CE,Extinta
1835,Faculdade de Colinas do Tocantins,Privada,Colinas do Tocantins,TO,Ativa
1356,CENTRO UNIVERSITÁRIO DE SANTA FÉ DO SUL,Pública,Santa Fé do Sul,SP,Ativa
18736,Escola Superior de Tecnologia & Gestão de Santa Catarina,Privada,Florianópolis,SC,Ativa
1096,FACULDADE DE PRESIDENTE EPITÁCIO - FAPE,Privada,Presidente Epitácio,SP,Ativa
166,"FAI - CENTRO DE ENSINO SUPERIOR EM GESTÃO, TECNOLOGIA E EDUCAÇÃO",Privada,Santa Rita do Sapucaí,MG,Ativa
1257,"FACULDADE DE ADMINISTRAÇÃO, CIÊNCIAS, EDUCAÇÃO E LETRAS",Privada,Curitiba,PR,Extinta
22627,Faculdade Abrange ABC,Privada,São Bernardo do Campo,SP,Ativa
1336,CENTRO UNIVERSITÁRIO ASSIS GURGACZ,Privada,Cascavel,PR,Ativa
23890,FACULDADES INTEGRADAS DE SAÚDE E EDUCAÇÃO DO BRASIL,Privada,Cuiabá,MT,Ativa
22566,Faculdade Metropolitana de Itacoatiara,Privada,Itacoatiara,AM,Ativa
726,FACULDADE ESTADUAL DE FILOSOFIA CIÊNCIAS E LETRAS DE JACAREZINHO,Pública,Jacarezinho,PR,Extinta
18158,FACULDADE MADALENA SOFIA,Privada,Curitiba,PR,Ativa
1525,FACULDADE DE CIÊNCIAS CONTÁBEIS DE AFONSO CLÁUDIO,Privada,Afonso Cláudio,ES,Extinta
152,FACULDADE DE CIÊNCIAS CONTÁBEIS,Privada,Salvador,BA,Ativa
2232,FACULDADE DE ADMINISTRAÇÃO E MARKETING DE BRASÍLIA,Privada,Brasília,DF,Extinta
627,FACULDADE CNEC VARGINHA,Privada,Varginha,MG,Ativa
13300,FACULDADE ADJETIVO CETEP,Privada,Mariana,MG,Ativa
2454,FACULDADE MAFRENSE DE TURISMO E CIÊNCIAS HUMANAS DE TERESINA,Privada,Teresina,PI,Extinta
2133,"Faculdade de Ciências, Educação e Teologia do Norte do Brasil",Privada,Boa Vista,RR,Ativa
18956,Faculdade de Ciências e Tecnologia de Janaúba,Privada,Janaúba,MG,Ativa
622,FACULDADES INTEGRADAS SILVA E SOUZA,Privada,Rio de Janeiro,RJ,Ativa
4652,FACULDADE ANHANGÜERA DE SÃO JOSÉ,Privada,São José dos Campos,SP,Ativa
5403,CENTRO UNIVERSITÁRIO OPET,Privada,Curitiba,PR,Ativa
2500,FACULDADE EINSTEIN,Privada,Salvador,BA,Ativa
1885,CENTRO UNIVERSITÁRIO UNIDADE DE ENSINO SUPERIOR DOM BOSCO,Privada,São Luís,MA,Ativa
12766,FACULDADE UNIÃO DE CAMPO MOURÃO,Privada,Campo Mourão,PR,Ativa
23877,"INSIDE - Instituto Superior para Integração, Desenvolvimento e Educação",Privada,Brasília,DF,Ativa
916,FACULDADE ESTÁCIO DE TERESINA,Privada,Teresina,PI,Ativa
2117,FACULDADE DE CIÊNCIA E TECNOLOGIA,Privada,Palotina,PR,Ativa
2944,FACULDADE ANHANGUERA DE ITABUNA,Privada,Itabuna,BA,Ativa
18734,Faculdade de Martinópolis,Privada,Martinópolis,SP,Ativa
20328,FACULDADE DE ODONTOLOGIA DA APCD,Privada,São Paulo,SP,Ativa
2575,FACULDADES INTEGRADAS SOARES DE OLIVEIRA,Privada,Barretos,SP,Ativa
19838,Faculdade Lusitana de Pernambuco,Privada,Carpina,PE,Ativa
23177,Faculdade de Educação Superior de Catalão,Privada,Catalão,GO,Ativa
18051,Faculdades de Ciências e Tecnologia do Nordeste LTDA,Privada,Fortaleza,CE,Ativa
4070,ESCOLA AGROTÉCNICA FEDERAL DE SALINAS,Pública,Salinas,MG,Extinta
21687,FACULDADE ANHANGUERA ITABIRA,Privada,Itabira,MG,Ativa
34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,Pública,São Paulo,SP,Ativa
22425,FACULDADE ESAMC FRANCA,Privada,Franca,SP,Ativa
5671,CENTRO UNIVERSITÁRIO SÃO JOSÉ DE ITAPERUNA,Privada,Itaperuna,RJ,Ativa
4024,FACULDADE DE TECNOLOGIA DE MOCOCA,Pública,Mococa,SP,Ativa
15451,Faculdade de Direito de Ipatinga,Privada,Ipatinga,MG,Ativa
25476,Instituto do Sul de Santa Catarina,Privada,Criciúma,SC,Ativa
403,UNIVERSIDADE CATÓLICA DE BRASÍLIA,Privada,Brasília,DF,Ativa
2620,FACULDADE DE AMPÉRE,Privada,Ampére,PR,Ativa
2148,FACULDADE DE PALMAS,Privada,Palmas,TO,Ativa
23089,FACULDADE DE NOVA MUTUM,Privada,Nova Mutum,MT,Ativa
13735,"FACULDADE DE TECNOLOGIA, CAPACITAÇÃO E GESTÃO INTEGRAL",Privada,Curitiba,PR,Extinta
25656,INSTITUTO PLENITUDE EDUCAÇÃO,Privada,São Paulo,SP,Ativa
21200,Faculdade ISMD,Privada,Belo Horizonte,MG,Ativa
2346,INSTITUTO SUPERIOR DE FILOSOFIA BERTHIER,Privada,Passo Fundo,RS,Ativa
12625,ESCOLA SUPERIOR DE AVIAÇÃO CIVIL,Privada,Campina Grande,PB,Ativa
23012,Faculdade Liber de Porangatu,Privada,Porangatu,GO,Ativa
21788,Instituto de Desenvolvimento Educacional,Privada,Recife,PE,Ativa
14127,Faculdade Presidente Antônio Carlos de Campo Belo,Privada,Campo Belo,MG,Extinta
14243,Faculdade Presidente Antônio Carlos de Itabirito,Privada,Itabirito,MG,Ativa
1440,INSTITUTO APHONSIANO DE ENSINO SUPERIOR,Privada,Trindade,GO,Ativa
25387,Faculdade Guerra,Privada,Brasília,DF,Ativa
1753,FACULDADE DE ENFERMAGEM NOVA ESPERANÇA,Privada,João Pessoa,PB,Ativa
1263,FACULDADE BEZERRA DE ARAÚJO,Privada,Rio de Janeiro,RJ,Ativa
935,FACULDADE PAULISTA,Privada,São Bernardo do Campo,SP,Extinta
4096,Faculdade de Tecnologia FTEC de Porto Alegre,Privada,Porto Alegre,RS,Ativa
271,UNIVERSIDADE DO OESTE PAULISTA,Privada,Presidente Prudente,SP,Ativa
3770,FACULDADE TEOLÓGICA BATISTA DE SÃO PAULO,Privada,São Paulo,SP,Ativa
4832,FACULDADE POLITÉCNICA DE TAUBATÉ,Privada,Taubaté,SP,Extinta
900,FACULDADE UNIRIO,Privada,Porto Velho,RO,Ativa
1030,Centro Universitário IBMEC,Privada,Rio de Janeiro,RJ,Ativa
757,Centro Universitário da Amazônia,Privada,Santarém,PA,Ativa
1785,FACULDADE DE COLIDER,Privada,Colíder,MT,Ativa
466,UNIVERSIDADE ANHEMBI MORUMBI,Privada,São Paulo,SP,Ativa
15709,Faculdade de Tecnologia de Osasco - Prefeito Hirant Sanazar,Pública,Osasco,SP,Ativa
22176,Faculdade ENAU,Privada,Ribeirão Pires,SP,Ativa
631,FACULDADE CNEC FARROUPILHA,Privada,Farroupilha,RS,Ativa
17887,Faculdade de Ciências Médicas de São José dos Campos,Privada,São José dos Campos,SP,Ativa
1070,FACULDADE CNEC UNAÍ,Privada,Unaí,MG,Ativa
3159,FACULDADE DE TECNOLOGIA SENAI FLORIANÓPOLIS,Privada,Florianópolis,SC,Ativa
12421,FACULDADES COC DE SÃO PAULO,Privada,São Paulo,SP,Extinta
1479,FACULDADES INTEGRADAS TIBIRIÇÁ,Privada,São Paulo,SP,Extinta
270,FACULDADE DE TUPÃ,Privada,Tupã,SP,Ativa
21444,Faculdade Ágape de São Félix,Privada,São Félix do Xingu,PA,Ativa
2613,Centro Universitário Estácio Meta de Rio Branco Estácio,Privada,Rio Branco,AC,Ativa
3777,FACULDADE CURITIBANA,Privada,Curitiba,PR,Ativa
1589,FACULDADE DE CASCAVEL,Privada,Cascavel,PR,Extinta
2566,INSTITUTO DE ENSINO SUPERIOR DE OLINDA,Privada,Olinda,PE,Ativa
1587,FACULDADE ANHANGUERA DE TANGARÁ DA SERRA,Privada,Tangará da Serra,MT,Ativa
20481,Faculdade de Bragança,Privada,Bragança,PA,Ativa
781,FACULDADE ANHANGUERA DE RONDONÓPOLIS,Privada,Rondonópolis,MT,Ativa
1766,FACULDADE ESPÍRITO SANTENSE,Privada,Cariacica,ES,Ativa
2014,FACULDADE SETELAGOANA DE CIÊNCIAS GERENCIAIS,Privada,Sete Lagoas,MG,Extinta
22625,FACULDADE BOOKPLAY,Privada,Votuporanga,SP,Ativa
4868,FACULDADE HSM,Privada,Santa Rita do Passa Quatro,SP,Extinta
20548,FACULDADE UNINTA TIANGUA,Privada,Tianguá,CE,Ativa
1701,FACULDADE MACHADO DE ASSIS,Privada,Rio de Janeiro,RJ,Ativa
15001,UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA,Pública,Foz do Iguaçu,PR,Ativa
3191,INSTITUTO SUPERIOR DE EDUCAÇÃO DE SANTA CATARINA,Privada,Joinville,SC,Extinta
13811,TREVISAN ESCOLA SUPERIOR DE NEGÓCIOS,Privada,Rio de Janeiro,RJ,Ativa
1790,FACULDADE DO SUL DA BAHIA,Privada,Teixeira de Freitas,BA,Ativa
25474,Faculdade Microlins,Privada,Catanduva,SP,Ativa
1545,FACULDADE DE BOITUVA,Privada,Boituva,SP,Ativa
17394,FACULDADE 05 DE JULHO,Privada,Sobral,CE,Ativa
19739,Faculdade de Tecnologia de Campinas,Pública,Campinas,SP,Ativa
21275,Faculdade Anhanguera de Erechim,Privada,Erechim,RS,Extinta
364,FACULDADE DE CIÊNCIAS CONTÁBEIS DE PONTE NOVA,Privada,Ponte Nova,MG,Extinta
2896,Centro Universitário SATC,Privada,Criciúma,SC,Ativa
22599,FACULDADE CECAPE,Privada,Juazeiro do Norte,CE,Ativa
3397,"FACULDADE BOAS NOVAS DE CIÊNCIAS TEOLÓGICAS, SOCIAIS E BIOTECNOLÓGICAS",Privada,Manaus,AM,Ativa
21654,Faculdade de Engenharia e Agrimensura de São Paulo,Privada,São Paulo,SP,Ativa
1818,FACULDADE ANHANGUERA DE BELO HORIZONTE,Privada,Belo Horizonte,MG,Ativa
2270,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE EXTREMA,Privada,Extrema,MG,Ativa
1605,FACULDADE DE ADMINISTRAÇÃO DE NOVA ANDRADINA - FANOVA,Privada,Nova Andradina,MS,Ativa
21693,Faculdade Anhanguera Franca,Privada,Franca,SP,Ativa
17875,Faculdade Católica de Belém,Privada,Ananindeua,PA,Ativa
17288,Faculdade Teológica Betânia,Privada,Curitiba,PR,Ativa
374,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,Privada,São Paulo,SP,Ativa
5419,FACULDADE EVANGÉLICA DE TAGUATINGA,Privada,Brasília,DF,Extinta
24979,Instituto Brasil de Ensino Superior,Privada,Ponta Grossa,PR,Ativa
1038,FACULDADES INTEGRADAS DE TRÊS LAGOAS,Privada,Três Lagoas,MS,Ativa
78,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ALEGRE,Pública,Alegre,ES,Ativa
20321,FACULDADE IMPACTO,Privada,Maceió,AL,Ativa
1156,Faculdade CNEC Alberto Torres,Privada,Itaboraí,RJ,Ativa
1046,UNIÃO DAS FACULDADES DOS GRANDES LAGOS,Privada,São José do Rio Preto,SP,Ativa
801,FACULDADE MONTENEGRO,Privada,Ibicaraí,BA,Extinta
339,FACULDADE DE JOÃO PESSOA (SANTA EMÍLIA DO RODAT),Privada,João Pessoa,PB,Ativa
14429,FACULDADE ANHANGUERA DE MACEIÓ,Privada,Maceió,AL,Ativa
4010,CENTRO UNIVERSITÁRIO METODISTA,Privada,Porto Alegre,RS,Ativa
4899,FACULDADE DE CIÊNCIAS MÉDICAS DA BAHIA,Privada,Santa Cruz Cabrália,BA,Extinta
14211,Faculdade Presidente Antônio Carlos de Nazareno,Privada,Nazareno,MG,Extinta
14785,FACULDADE DE TECNOLOGIA SENAI MARINGÁ,Privada,Maringá,PR,Extinta
3146,FACULDADE DE ODONTOLOGIA DO RECIFE,Privada,Recife,PE,Ativa
762,FACULDADES INTEGRADAS DE FÁTIMA DO SUL,Privada,Fátima do Sul,MS,Extinta
19913,Faculdade Estácio de Jataí Estácio Jataí,Privada,Jataí,GO,Extinta
2113,FACULDADE DOM BOSCO DE PORTO ALEGRE,Privada,Porto Alegre,RS,Ativa
13,UNIVERSIDADE DE CAXIAS DO SUL,Privada,Caxias do Sul,RS,Ativa
789,UNIVERSIDADE FEDERAL DE RORAIMA,Pública,Boa Vista,RR,Ativa
11752,FACULDADE SUDOESTE PAULISTA - TATUÍ - FSP,Privada,Tatuí,SP,Extinta
19214,Faculdade Norte e Nordeste do Brasil,Privada,Itinga do Maranhão,MA,Ativa
22634,FACULDADE FASIPE DE RONDONÓPOLIS,Privada,Rondonópolis,MT,Ativa
15468,Faculdade Presidente Antônio Carlos de Leopoldina,Privada,Leopoldina,MG,Ativa
19555,Favenorte de Porteirinha,Privada,Porteirinha,MG,Ativa
1995,FACULDADE DE MEDICINA NOVA ESPERANÇA,Privada,João Pessoa,PB,Ativa
983,FACULDADE PRUDENTE DE MORAES,Privada,Itu,SP,Extinta
20709,Faculdade Fecomercio Roraima,Privada,Boa Vista,RR,Ativa
5315,Faculdades Unificadas de Iúna,Privada,Iúna,ES,Ativa
609,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ,Pública,Cascavel,PR,Ativa
15504,FACULDADE IRECÊ,Privada,Irecê,BA,Ativa
24392,FACULDADE DINÂMICA,Privada,Santa Terezinha de Goiás,GO,Ativa
22975,UNICORP FACULDADES,Privada,João Pessoa,PB,Ativa
190,ESCOLA DE MEDICINA SOUZA MARQUES DA FUNDAÇÃO TÉCNICO-EDUCACIONAL SOUZA MARQUES,Privada,Rio de Janeiro,RJ,Ativa
4815,FACULDADE DE TECNOLOGIA SENAI NADIR DIAS DE FIGUEIREDO,Privada,Osasco,SP,Ativa
4,UNIVERSIDADE FEDERAL DO AMAZONAS,Pública,Manaus,AM,Ativa
3295,FACULDADE SENAC FLORIANÓPOLIS,Privada,Florianópolis,SC,Ativa
700,FACULDADE DE EDUCAÇÃO DE ITABORAÍ,Pública,Itaboraí,RJ,Ativa
5033,FACULDADE PRISMA,Privada,Montes Claros,MG,Extinta
659,FACULDADE DE CIÊNCIAS HUMANAS DO SUL PAULISTA,Privada,Itapeva,SP,Extinta
1524,FACULDADE OLGA METTIG,Privada,Salvador,BA,Ativa
5352,FACULDADE DE CIÊNCIAS E TECNOLOGIA DE NATAL,Privada,Natal,RN,Extinta
24687,FACULDADE DE MEDICINA ESTÁCIO DE CASTANHAL,Privada,Castanhal,PA,Ativa
452,CENTRO UNIVERSITÁRIO LUTERANO DE MANAUS,Privada,Manaus,AM,Ativa
2200,FACULDADE VALE DO GORUTUBA,Privada,Nova Porteirinha,MG,Ativa
13630,ESCOLA SUPERIOR DO MINISTÉRIO PÚBLICO DA UNIÃO,Pública,Brasília,DF,Ativa
1690,FACULDADE DE SÃO VICENTE,Privada,São Vicente,SP,Ativa
25466,Faculdade de Ensino Jurídico de Vitória,Privada,Vitória,ES,Ativa
482,UNIVERSIDADE DO EXTREMO SUL CATARINENSE,Privada,Criciúma,SC,Ativa
19586,FACULDADE UNITÀ,Privada,Campinas,SP,Ativa
21691,Faculdade Pitágoras Belo Jardim,Privada,Belo Jardim,PE,Extinta
15757,Faculdade de Tecnologia de Barueri,Pública,Barueri,SP,Ativa
14342,FACULDADE REDENTOR DE CAMPOS,Privada,Campos dos Goytacazes,RJ,Extinta
1292,Centro Universitário de Adamantina,Pública,Adamantina,SP,Ativa
3525,"FACULDADE EVANGÉLICA DE TECNOLOGIA, CIÊNCIAS E BIOTECNOLOGIA DA CGADB",Privada,Rio de Janeiro,RJ,Ativa
21537,Faculdade de Santo Ângelo,Privada,Santo Ângelo,RS,Ativa
21362,Faculdade Centro Oeste Catanduvas,Privada,Catanduvas,SC,Ativa
1299,FACULDADES INTEGRADAS DE FERNANDÓPOLIS,Privada,Fernandópolis,SP,Ativa
22441,FACULDADE Ensin.E,Privada,Juiz de Fora,MG,Ativa
1198,FACULDADE DE CIÊNCIAS SOCIAIS E APLICADAS DO PARANÁ,Privada,Curitiba,PR,Extinta
1918,Centro Universitário Univinte,Privada,Capivari de Baixo,SC,Ativa
24677,Faculdade FaCiencia,Privada,Curitiba,PR,Ativa
18034,Centro de Ensino Superior Riograndense,Privada,Sarandi,RS,Ativa
1601,FACULDADE CIDADE DE COROMANDEL,Privada,Coromandel,MG,Ativa
3609,FACULDADES INTEGRADAS IPITANGA,Privada,Lauro de Freitas,BA,Ativa
18133,Faculdade Unida de Campinas Goiânia - FACUNICAMPS GOIÂNIA,Privada,Goiânia,GO,Ativa
15611,Faculdade Tecnológica Latino Americana,Privada,Porto Alegre,RS,Ativa
4446,FACULDADE CIDADE DE GUANHÃES - FACIG,Privada,Guanhães,MG,Extinta
2548,"FACULDADE DE TEOLOGIA, FILOSOFIA E CIÊNCIAS HUMANAS GAMALIEL",Privada,Tucuruí,PA,Ativa
4629,Faculdade Innovare,Privada,São Paulo,SP,Ativa
281,CONSERVATÓRIO DRAMÁTICO MUSICAL SÃO PAULO,Privada,São Paulo,SP,Extinta
5591,FACULDADES INTEGRADAS CAMÕES,Privada,Curitiba,PR,Ativa
2334,FACULDADE CNEC RIO DAS OSTRAS,Privada,Rio das Ostras,RJ,Ativa
1743,FACULDADE DE TECNOLOGIA OSWALDO CRUZ,Privada,São Paulo,SP,Ativa
20100,Instituto Leya de Educação Superior,Privada,Brasília,DF,Ativa
1446,CENTRO UNIVERSITÁRIO PLANALTO DO DISTRITO FEDERAL - UNIPLAN,Privada,Brasília,DF,Ativa
14892,FACULDADE DE CIÊNCIAS DA SAÚDE DE BARRETOS DR. PAULO PRATA,Privada,Barretos,SP,Ativa
3456,FACULDADE POLITÉCNICA DE CAMPINAS,Privada,Campinas,SP,Ativa
19255,Faculdade Pitágoras de Bom Jesus da Lapa,Privada,Bom Jesus da Lapa,BA,Extinta
1733,FACULDADE DE ENSINO SUPERIOR DE MARECHAL CÂNDIDO RONDON,Privada,Marechal Cândido Rondon,PR,Ativa
22470,Faculdade Universalis,Privada,Aracaju,SE,Ativa
17628,Faculdade do Maciço do Baturité,Privada,Baturité,CE,Ativa
2626,FACULDADE DE COMUNICAÇÃO SOCIAL SANTA EFIGÊNIA,Privada,Conselheiro Lafaiete,MG,Extinta
17348,Faculdade Alis de Itabirito,Privada,Itabirito,MG,Ativa
1656,INSTITUTO DE ENSINO SUPERIOR DE TERESINA,Privada,Teresina,PI,Ativa
10385,INSTITUTO SÃO PAULO DE ESTUDOS SUPERIORES,Privada,São Paulo,SP,Ativa
1828,ESCOLA DA CIDADE - FACULDADE DE ARQUITETURA E URBANISMO,Privada,São Paulo,SP,Ativa
1231,FACULDADE CNEC SANTO ÂNGELO,Privada,Santo Ângelo,RS,Ativa
1598,CENTRO UNIVERSITÁRIO UNA DE UBERLÂNDIA,Privada,Uberlândia,MG,Ativa
11007,FACULDADE CENTRO OESTE DO PARANÁ,Privada,Laranjeiras do Sul,PR,Extinta
3162,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DE SANTA CATARINA",Pública,Florianópolis,SC,Ativa
2576,FACULDADE ANHANGUERA UNIDADE GUARAPARI,Privada,Guarapari,ES,Ativa
24255,Faculdade de Nova Mutum,Privada,Nova Mutum,MT,Ativa
23175,Escola Superior de Pouso Alegre,Privada,Pouso Alegre,MG,Ativa
1493,CENTRO UNIVERSITÁRIO ALVES FARIA,Privada,Goiânia,GO,Ativa
23000,Faculdade de Tecnologia e Ciências - FTC Caucaia,Privada,Caucaia,CE,Ativa
20098,Faculdade Integração,Privada,São Paulo,SP,Ativa
1119,"FACULDADE PLANALTO DE FILOSOFIA, CIÊNCIAS E LETRAS",Privada,Brasília,DF,Extinta
991,FACULDADE SENAI-CETIQT,Privada,Rio de Janeiro,RJ,Ativa
20651,Faculdades IDAAM,Privada,Manaus,AM,Ativa
21896,FACULDADE MAURÍCIO DE NASSAU DE DIVINÓPOLIS,Privada,Divinópolis,MG,Extinta
10020,INSTITUTO LOGOS DE EDUCAÇÃO SUPERIOR,Privada,São José da Tapera,AL,Extinta
2366,FACULDADE DE SISTEMAS DE INFORMAÇÃO DE PARAÍSO DO TOCANTINS,Privada,Paraíso do Tocantins,TO,Extinta
475,FACULDADE DE MEDICINA DE PETRÓPOLIS,Privada,Petrópolis,RJ,Ativa
16918,FACULDADE CATÓLICA DE FEIRA DE SANTANA,Privada,Feira de Santana,BA,Ativa
22266,Instituto de Desenvolvimento Tecnológico da FGV,Privada,Rio de Janeiro,RJ,Ativa
5503,FACULDADES COC DE BRASÍLIA,Privada,Brasília,DF,Extinta
4443,Faculdade Meridional de Ijuí,Privada,Ijuí,RS,Ativa
2854,FACULDADE CONHECER,Privada,São Mateus,ES,Extinta
1455,FACULDADE SANTÍSSIMO SACRAMENTO,Privada,Alagoinhas,BA,Ativa
24196,FACULDADE CLEBER LEITE - EAD,Privada,Santo André,SP,Ativa
22775,Faculdade Garça Branca Pantanal,Privada,Cuiabá,MT,Ativa
5357,FACULDADE DE CIÊNCIAS APLICADAS E TECNOLÓGICAS DO LITORAL SUL,Privada,Itanhaém,SP,Extinta
22748,FACULDADES FAMEP,Privada,São Pedro do Piauí,PI,Ativa
4748,FACULDADE DE BRUSQUE,Privada,Brusque,SC,Extinta
15833,FACULDADE 2001,Privada,Recife,PE,Ativa
17400,Faculdade Menino Deus,Privada,Porto Alegre,RS,Ativa
1882,FACULDADE DE ASSUNTOS ACADÊMICOS E CIENTÍFICOS MONSENHOR EDISSON VIEIRA LÍCIO,Privada,Artur Nogueira,SP,Extinta
1079,FACULDADE MARINGÁ,Privada,Maringá,PR,Ativa
15428,Faculdade UNIRB - NATAL,Privada,Natal,RN,Ativa
17765,Faculdade Santa Maria,Privada,Pinheiro,MA,Ativa
19476,EMGE - ESCOLA DE ENGENHARIA,Privada,Belo Horizonte,MG,Ativa
3835,UNIVERSIDADE VIRTUAL DO ESTADO DO MARANHÃO,Pública,São Luís,MA,Ativa
3921,CENTRO UNIVERSITÁRIO ARNALDO HORÁCIO FERREIRA,Privada,Luís Eduardo Magalhães,BA,Ativa
22028,Faculdade CTA,Privada,São Paulo,SP,Ativa
1958,Centro Universitário SENAI Blumenau,Privada,Blumenau,SC,Ativa
665,UNIVERSIDADE DE TAUBATÉ,Pública,Taubaté,SP,Ativa
17587,Faculdade Humboldt,Privada,São Paulo,SP,Extinta
12523,Faculdade da Serra Gaúcha de Bento Gonçalves,Privada,Bento Gonçalves,RS,Ativa
5078,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,Pública,Balneário Camboriú,SC,Extinta
432,FACULDADE PARANAENSE,Privada,Rolândia,PR,Ativa
20606,Faculdade de Tecnologia e Ciências,Privada,Juazeiro,BA,Ativa
17854,Centro Universitário Unifecaf,Privada,Taboão da Serra,SP,Ativa
4582,FACULDADE CENTRO SUL DO PARANÁ,Privada,São Mateus do Sul,PR,Extinta
25148,Escola Superior de Educação e Negócios,Privada,Marília,SP,Ativa
