CODIGO_DA_IES,NOME_DA_IES,CATEGORIA_DA_IES,MUNICIPIO,UF,SITUACAO_IES
14149,Faculdade Presidente Antônio Carlos de Bocaiúva,Privada,Bocaiúva,MG,Extinta
4294,FACULDADE SENAC JARAGUÁ DO SUL,Privada,Jaraguá do Sul,SC,Ativa
1554,CENTRO UNIVERSITÁRIO DO VALE DO RIBEIRA,Privada,Registro,SP,Ativa
17116,Faculdade de Ciências de Goiana,Privada,Goiana,PE,Ativa
2754,Faculdade Estácio São Paulo de Rondônia,Privada,Rolim de Moura,RO,Ativa
2861,FACULDADE DE ITAPETININGA,Privada,Itapetininga,SP,Extinta
1454,FACULDADE SALESIANA DO NORDESTE,Privada,Recife,PE,Ativa
2023,Centro Universitário FG,Privada,Guanambi,BA,Ativa
594,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,Pública,Belo Horizonte,MG,Ativa
23242,Escola Superior São Judas de São Bernardo do Campo,Privada,São Bernardo do Campo,SP,Ativa
25640,Faculdade de Ciências Educacionais e Tecnologias Integradas,Privada,Vitória,ES,Ativa
12928,FACULDADE CGESP GOIANIA,Privada,Goiânia,GO,Ativa
19229,FACULDADE PRESBITERIANA MACKENZIE BRASILIA,Privada,Brasília,DF,Ativa
3981,FACULDADE DE CURITIBA,Privada,Curitiba,PR,Extinta
26,ESCOLA NACIONAL DE CIÊNCIAS ESTATÍSTICAS,Pública,Rio de Janeiro,RJ,Ativa
18025,FACULDADE DE EDUCAÇÃO SUPERIOR DE CHAPECÓ,Privada,Chapecó,SC,Ativa
5370,Centro Universitário Doctum de Teófilo Otoni,Privada,Teófilo Otoni,MG,Ativa
18653,Faculdade Uninassau Garanhuns,Privada,Garanhuns,PE,Ativa
1516,FACULDADE DE VINHEDO,Privada,Vinhedo,SP,Extinta
14914,FACULDADE TEOLÓGICA EVANGÉLICA DO RIO DE JANEIRO,Privada,Rio de Janeiro,RJ,Extinta
1552,Centro Universitário Maurício de Uninassau de Parnaíba,Privada,Parnaíba,PI,Ativa
13749,FACULDADE EDUCACIONAL ARAUCÁRIA,Privada,Curitiba,PR,Ativa
